step,rewards,qf_loss,actor_loss,observations,action
41998,[-1149.6938],768003145728.0,2050876.25,[0.         3.14159265 0.         0.        ],[-28.197142]
44998,[-1352.1517],630218293248.0,1914199.875,[0.         3.14159265 0.         0.        ],[-33.549328]
47998,[-1222.0797],825685901312.0,1705871.5,[0.         3.14159265 0.         0.        ],[-30.484882]
50998,[-488.43634],596758495232.0,1345731.25,[0.         3.14159265 0.         0.        ],[-7.251257]
53998,[-576.53357],246843768832.0,1188922.0,[0.         3.14159265 0.         0.        ],[-13.133882]
56998,[-819.4575],353186676736.0,933005.5,[0.         3.14159265 0.         0.        ],[-6.6085777]
59998,[-1112.5637],232845688832.0,741370.9375,[0.         3.14159265 0.         0.        ],[-4.1699553]
62998,[-1330.2289],146237734912.0,487377.59375,[0.         3.14159265 0.         0.        ],[-16.212324]
65998,[-4150.665],396876316672.0,445271.3125,[0.         3.14159265 0.         0.        ],[-60.383068]
68998,[-2712.3286],201502752768.0,490899.71875,[0.         3.14159265 0.         0.        ],[-47.612522]
71998,[-1472.7603],176475308032.0,525468.375,[0.         3.14159265 0.         0.        ],[-21.223448]
74998,[-993.70447],114481905664.0,345211.3125,[0.         3.14159265 0.         0.        ],[-25.975636]
77998,[-841.98804],181967175680.0,463085.5,[0.         3.14159265 0.         0.        ],[-25.100227]
80998,[-635.31464],195458252800.0,397261.5625,[0.         3.14159265 0.         0.        ],[12.327645]
83998,[-569.9528],453136678912.0,810872.4375,[0.         3.14159265 0.         0.        ],[3.9596136]
86998,[-618.81036],267566153728.0,687983.25,[0.         3.14159265 0.         0.        ],[2.3810494]
89998,[-622.26624],255124488192.0,832753.625,[0.         3.14159265 0.         0.        ],[2.5574455]
92998,[-636.3898],345759481856.0,514342.46875,[0.         3.14159265 0.         0.        ],[4.163195]
95998,[-549.6624],237604880384.0,384982.0625,[0.         3.14159265 0.         0.        ],[1.8949502]
98998,[-890.6135],301636583424.0,529677.375,[0.         3.14159265 0.         0.        ],[-27.731249]
