step,rewards,qf1_loss,actor_loss,observations,action
31700,[-105.42742],145655.296875,1873.3592529296875,[ 1.97749293  3.00503092 -1.07909741 -2.54440302],[-2.4456031]
31800,[-92.11788],125999.671875,1818.312744140625,[ 1.61423055  2.97233119  0.23050545 -0.10366718],[0.3013516]
31900,[-105.0327],100234.03125,1708.0390625,[1.75459635 3.15676217 0.54442099 2.5925285 ],[0.2602649]
32000,[-99.51517],133269.4375,1798.1866455078125,[ 0.99064653  3.10255169  1.33010847 -0.12688149],[0.25271893]
32100,[-82.67641],149093.3125,1725.39892578125,[ 0.90457446  2.7944208   0.26994097 -0.63526997],[0.23746675]
32200,[-92.55349],187019.28125,1812.500244140625,[ 0.4972149   2.67223286  1.17433435 -1.13159938],[2.237249]
25100,[-529.67535],221898.96875,-172.76873779296875,[ -9.58051293   2.90755015 -11.98141736 -13.27114519],[-17.412212]
25200,[-35.252907],204155.234375,-162.5249786376953,[-0.51739055  1.74734659  1.72747738  2.05871958],[1.9945198]
25300,[-151.50177],178236.0625,-152.60215759277344,[0.055788   3.20393096 3.7492877  3.01773119],[5.1102486]
25400,[-155.63531],196729.25,-134.86904907226562,[-0.40365102  2.90097574 -0.74845372 -0.13824301],[5.759079]
25500,[-151.12825],160312.375,-114.06582641601562,[-3.441118    3.1555963   2.14719013 -0.01851016],[6.255352]
25600,[-174.12903],145960.0625,-94.02626037597656,[-0.18090117  3.00664079 -0.42671506 -8.48412522],[-7.4184422]
25700,[-669.61194],151054.328125,-62.83131408691406,[ 8.53358057 -0.27393549 21.26880877  2.01921571],[-6.8522906]
25800,[-402.57758],161942.578125,-31.899433135986328,[ -7.14075491   1.75659068 -11.75843024  -3.31915629],[-16.127584]
25900,[-285.04755],158141.1875,-1.0293266773223877,[-9.34540283  3.25111125 -2.82830332 -6.46393192],[-9.203944]
26000,[-108.46605],167847.59375,43.30414581298828,[ 1.11283948 -3.1468313   1.98495238  0.11094452],[-1.4079072]
26100,[-138.71094],109010.984375,60.46986389160156,[-1.65314528  1.28396971 -5.74747736  0.06587456],[-10.130953]
26200,[-55.214096],97633.1875,96.5427474975586,[ 1.17815092  1.84618358 -0.17994237  1.56702855],[-4.3704467]
26300,[-192.22229],124402.640625,156.80865478515625,[-5.00999278 -3.20318127 -8.06205002  1.0549718 ],[-1.0021613]
26400,[-118.30502],99285.09375,190.48886108398438,[-1.93741565 -2.27031898  3.71948661  4.52920032],[6.8829155]
26500,[-126.46732],92208.546875,243.73199462890625,[-1.900397    3.17515187  0.66264989 -0.77108661],[3.6035373]
26600,[-238.48589],76369.0703125,262.05889892578125,[ 6.49116149  3.02643124 10.08861512 -0.62018508],[3.4944205]
26700,[-109.29825],87240.890625,350.46697998046875,[2.1530254  3.16871747 2.06303796 0.34914065],[0.11526215]
26800,[-78.32129],83097.1796875,350.711669921875,[-0.67731798  2.0422111  -3.78123916 -3.38916151],[-1.9921873]
