step,cost,loss,observations,action
222908,5719.223702401479,987257.875,"tensor([[[ 8.0135,  3.2673,  3.3517, -0.1677]],

        [[ 8.3579,  3.2461,  3.5398, -0.2336]],

        [[ 8.7147,  3.2181,  3.5972, -0.3129]],

        ...,

        [[ 7.0441,  3.0918,  3.5179,  2.0996]],

        [[ 7.3785,  3.2387,  3.1627,  0.7514]],

        [[ 7.6911,  3.2746,  3.0991,  0.0661]]], device='cuda:0')","tensor([[[ 0.4519]],

        [[ 0.1515]],

        [[ 1.3616]],

        ...,

        [[-0.5201]],

        [[ 0.0063]],

        [[ 0.6393]]], device='cuda:0')"
230010,8254.258186025305,980356.0625,"tensor([[[-3.3961e-01,  2.4245e+00, -1.0138e+00, -1.1369e+00]],

        [[-3.8854e-01,  2.4795e+00,  4.1590e-02,  2.2467e+00]],

        [[-3.6718e-01,  2.8002e+00,  3.8659e-01,  4.0807e+00]],

        ...,

        [[-1.5265e-03,  3.2064e+00, -8.8037e-02, -6.3924e-01]],

        [[-5.6056e-02,  3.0321e+00, -9.9206e-01, -2.7531e+00]],

        [[-1.9851e-01,  2.6823e+00, -1.8244e+00, -4.0136e+00]]],
       device='cuda:0')","tensor([[[ 1.8583]],

        [[ 0.3335]],

        [[ 1.0139]],

        ...,

        [[-1.6265]],

        [[-1.7381]],

        [[ 1.2647]]], device='cuda:0')"
237124,6745.972845831549,951594.5,"tensor([[[ 3.4585,  3.0345,  1.1949,  0.9640]],

        [[ 3.5716,  3.1244,  1.0628,  0.7900]],

        [[ 3.6500,  3.1378,  0.5044, -0.5271]],

        ...,

        [[ 3.0526,  2.8665,  0.4624, -2.4858]],

        [[ 3.1519,  2.7733,  1.5220,  0.6362]],

        [[ 3.3133,  2.8950,  1.7015,  1.7507]]], device='cuda:0')","tensor([[[-0.2688]],

        [[-1.0001]],

        [[-0.2493]],

        ...,

        [[ 1.7881]],

        [[ 0.1678]],

        [[-1.0100]]], device='cuda:0')"
243751,8153.404608625805,1045140.1875,"tensor([[[-3.2756,  2.6813, -1.9143, -0.4516]],

        [[-3.4768,  2.6676, -2.1106,  0.1827]],

        [[-3.7038,  2.7040, -2.4293,  0.5279]],

        ...,

        [[-2.6826,  3.1702, -1.8277, -1.7768]],

        [[-2.8636,  3.0002, -1.7825, -1.5401]],

        [[-3.0666,  2.8119, -2.2656, -2.1218]]], device='cuda:0')","tensor([[[-0.5844]],

        [[-0.8118]],

        [[ 1.6167]],

        ...,

        [[ 0.0484]],

        [[-1.0134]],

        [[ 0.4543]]], device='cuda:0')"
250740,5682.409978510404,1085007.125,"tensor([[[ 8.5446e-03,  3.1470e+00,  2.7619e-01,  2.9274e-01]],

        [[ 3.3533e-02,  3.1640e+00,  2.2592e-01,  7.0612e-02]],

        [[ 5.7676e-02,  3.1663e+00,  2.5825e-01, -1.0947e-02]],

        ...,

        [[-9.9886e+00,  3.2561e+00, -4.9725e+00, -1.8752e+00]],

        [[ 0.0000e+00,  3.1416e+00,  0.0000e+00,  0.0000e+00]],

        [[-2.8383e-03,  3.1349e+00, -5.6430e-02, -1.3120e-01]]],
       device='cuda:0')","tensor([[[-0.0666]],

        [[ 0.0935]],

        [[-0.0810]],

        ...,

        [[-0.7353]],

        [[-0.1015]],

        [[ 0.6772]]], device='cuda:0')"
258261,6847.453223980741,994758.0,"tensor([[[-6.2326,  2.4996, -1.6907, -3.5314]],

        [[-6.3837,  2.2552, -1.3465, -1.3367]],

        [[-6.5220,  2.2077, -1.4216,  0.3951]],

        ...,

        [[-5.9454,  3.3856, -0.6536, -2.2930]],

        [[-6.0071,  3.1458, -0.5672, -2.3813]],

        [[-6.0917,  2.8524, -1.1025, -3.3198]]], device='cuda:0')","tensor([[[ 0.3518]],

        [[-0.4187]],

        [[ 0.4120]],

        ...,

        [[ 0.2365]],

        [[-1.0624]],

        [[-1.4462]]], device='cuda:0')"
265623,7398.955078184341,1002686.4375,"tensor([[[ 0.0000,  3.1416,  0.0000,  0.0000]],

        [[-0.0518,  3.0220, -1.0283, -2.3226]],

        [[-0.1299,  2.8680, -0.5288, -0.6988]],

        ...,

        [[-2.4907,  3.2628, -3.5352,  0.0288]],

        [[-2.8269,  3.2548, -3.1841, -0.1514]],

        [[-3.1802,  3.1473, -3.8770, -1.9488]]], device='cuda:0')","tensor([[[-1.8685]],

        [[ 0.7916]],

        [[-1.3655]],

        ...,

        [[ 0.8564]],

        [[-1.2040]],

        [[-0.2036]]], device='cuda:0')"
272832,10650.983959560223,1014014.0625,"tensor([[[-4.2026,  2.9268, -2.5117,  0.3092]],

        [[-4.4151,  3.0680, -1.7437,  2.4564]],

        [[-4.6039,  3.2456, -2.0483,  0.9266]],

        ...,

        [[-3.4560,  2.9968, -2.0133,  0.3946]],

        [[-3.6714,  3.0186, -2.2965,  0.0315]],

        [[-3.9317,  2.9654, -2.9053, -1.0659]]], device='cuda:0')","tensor([[[ 1.2997]],

        [[-0.3615]],

        [[-0.9472]],

        ...,

        [[-0.5770]],

        [[-1.1703]],

        [[ 0.6091]]], device='cuda:0')"
280185,10104.867070952847,1058166.0,"tensor([[[-6.8173,  3.1562, -2.2421,  0.5463]],

        [[-7.0051,  3.1919, -1.5094,  0.2111]],

        [[-7.1784,  3.1548, -1.9556, -0.9354]],

        ...,

        [[-5.9639,  3.2228, -3.0848, -0.5571]],

        [[-6.2666,  3.1732, -2.9664, -0.4100]],

        [[-6.5605,  3.1363, -2.9098, -0.3094]]], device='cuda:0')","tensor([[[ 1.7784]],

        [[-0.7781]],

        [[-0.3678]],

        ...,

        [[ 0.2425]],

        [[ 0.1087]],

        [[ 1.3585]]], device='cuda:0')"
287170,10537.668870987174,1065854.25,"tensor([[[ 0.1164,  2.7706, -1.7706,  2.4294]],

        [[-0.0382,  3.0952, -1.3358,  3.9210]],

        [[-0.1748,  3.3865, -1.4419,  1.4468]],

        ...,

        [[ 0.7910,  2.8038, -2.2919, -1.6600]],

        [[ 0.5619,  2.6813, -2.2870, -0.7417]],

        [[ 0.3263,  2.6458, -2.4240,  0.0436]]], device='cuda:0')","tensor([[[ 0.6371]],

        [[ 0.3279]],

        [[ 0.5933]],

        ...,

        [[-0.1924]],

        [[-0.4771]],

        [[ 1.0157]]], device='cuda:0')"
