step,rewards,qf1_loss,actor_loss,observations,action
95000,[-93.80016],522601.125,4709.705078125,[-3.84665687  2.92560134 -1.06792484  1.76396473],[-0.04074529]
96000,[-142.67609],234499.34375,4628.83984375,[-3.73779489  3.07628636 -2.73336561 -5.35695779],[-4.3808093]
97000,[-221.40599],270503.75,4489.4658203125,[-4.30231509  3.02012768 -1.30701519 -5.48818181],[2.3178258]
98000,[-162.11218],225641.15625,4567.3837890625,[-4.47796454  3.11725608 -2.58097073 -7.0393325 ],[-4.0632887]
99000,[-124.7182],166970.90625,4482.42529296875,[-5.50786124  2.4888777  -2.27304566 -2.43154834],[-0.2394352]
100000,[-103.17435],108377.6953125,4424.099609375,[-4.94779159  2.18826815  2.20312     3.80977551],[5.7221446]
101000,[-202.78319],196705.109375,4511.2001953125,[-6.22463459  2.62216198  4.0785128   9.67947832],[10.552133]
102000,[-185.88443],119281.765625,4445.4501953125,[-5.24830202  2.62844681 -0.88737683 -3.99000236],[1.8086691]
103000,[-266.21286],232284.640625,4624.830078125,[-5.43700506  3.76701745  4.53695453  4.53397608],[4.1829486]
104000,[-98.95046],198178.15625,4620.12109375,[-5.68191485  2.61080111 -2.00467427  2.85885648],[1.1414393]
105000,[-152.31458],120828.140625,4604.63720703125,[-7.35537362  3.20342024  0.73703765  1.64252107],[1.7811836]
106000,[-204.70567],631435.0,4550.685546875,[-6.98291267  2.90758744 -1.65985827 -6.26058489],[-0.24424024]
106591,[33486.355],122535.34375,4530.47802734375,[ 4.56977024e-03  3.14603746e+00  5.99061597e-03 -1.58055694e-03],[-0.85411054]
107000,[-205.47559],74026.71875,4618.982421875,[-9.93661221  3.25537512 -2.57089437  0.30323136],[0.9017784]
108000,[-97.935326],64683.02734375,4606.71337890625,[-4.30101875  2.65151168  0.28450418  8.23764229],[4.8578267]
109000,[-157.77504],102020.3046875,4455.9150390625,[-2.57089074  2.63327601  2.83771911 10.21290363],[9.979649]
110000,[-94.945206],150368.3125,4643.97314453125,[-2.37840526  2.32072848  0.7416768   5.445797  ],[6.3401227]
111000,[-209.4684],148923.65625,4411.22021484375,[-2.3912245   3.49494301  3.1034638   5.55679308],[-0.00639717]
112000,[-259.15994],85117.359375,4469.337890625,[-1.44777443  3.97851224  1.94469206  2.72026701],[-3.5513468]
113000,[-298.7658],112036.703125,4588.73486328125,[-1.31919096  3.9721019   3.12332757  3.19471291],[-4.052251]
114000,[-188.19403],164727.75,4410.7626953125,[-1.84825971  3.50062866  5.96529632 12.76189714],[9.964727]
115000,[-64.588905],107296.65625,4193.681640625,[-2.03013578  2.1319214  -2.31309054 -0.9422359 ],[-1.6131258]
116000,[-62.952805],131428.9375,4649.9208984375,[-1.74085396  2.22740069 -1.99583415 -0.54446496],[-1.4824595]
117000,[-212.32146],66440.8125,4437.40869140625,[-1.42891782  3.83759377  0.55595611 -0.04591476],[-5.229539]
118000,[-210.6581],90811.84375,4405.876953125,[-1.29778133  3.87024353 -1.379382   -3.31208778],[-6.5064397]
119000,[-357.14615],52960.1328125,4346.875,[-1.01871713  4.24420186  2.93999574  3.26794453],[-5.0118294]
120000,[-301.53296],109986.875,4522.96337890625,[-1.14197114  4.8101189   1.90275203 -1.21999344],[-6.3279886]
121000,[-213.15291],119389.0546875,4448.2041015625,[-1.21129242  4.01839388 -1.45293779 -5.14110507],[-5.320532]
121376,[28532.049],108934.5859375,4636.5537109375,[-0.00402212  3.14723289 -0.00671565  0.00802322],[-0.7821075]
122000,[-231.64253],71682.6875,4447.48828125,[-0.95007132  4.10760244  1.14423927 -0.63358459],[-5.7484856]
123000,[-153.48018],77926.8828125,4407.9267578125,[-1.71066261  3.23085067 -3.03805411 -6.46086023],[-5.173113]
124000,[-206.40408],118928.640625,4629.208984375,[-1.12763462  3.29122541 -0.2414961  -6.51110134],[1.7587898]
125000,[-106.781],66515.03125,4423.013671875,[-2.62920519  2.4810319  -1.42230955 -2.06734484],[0.66308457]
126000,[-106.601654],108134.453125,4470.775390625,[-1.10451769  2.5811527   1.20403644 -3.4430823 ],[-0.59936094]
127000,[-165.60573],121518.5234375,4552.4423828125,[-0.6695838   3.52821886 -0.7544392  -6.12662714],[-3.4731548]
128000,[-87.45194],97635.0234375,4654.01318359375,[-2.19521137  2.32982721 -1.67329733 -1.4538667 ],[0.33653727]
129000,[-160.64755],182907.375,4689.33837890625,[-0.43926272  2.75586881  3.40621886 11.39152956],[10.357155]
130000,[-124.98719],119640.96875,4775.37646484375,[-1.51111959  3.38489799  0.09563457  1.83922013],[-1.5898926]
131000,[-181.54477],115724.9453125,4649.5341796875,[-0.15481879  3.82885797  0.80805351 -1.16569514],[-4.189414]
132000,[-235.18211],147469.0625,4869.24560546875,[-0.02584458  4.3565549   2.92090603 -0.209024  ],[-3.7815146]
133000,[-139.60721],83602.875,4785.966796875,[-0.91837331  2.93299924 -0.45288271 -3.08604434],[1.3511046]
134000,[-59.91948],79555.8515625,4636.2421875,[-0.61347507  2.33224837 -1.70335782  0.22109318],[-0.89478]
135000,[-94.64083],68070.15625,4783.01171875,[-0.56451452  3.21660958 -0.60797845  2.38772828],[-0.2987965]
136000,[-207.82932],105195.8828125,4640.673828125,[-0.12580368  4.22180512  2.0986203  -3.17404961],[-2.3259885]
137000,[-55.55029],181638.265625,4704.40234375,[ 0.27787715  2.22337409 -1.25337002  0.02500715],[-2.0842018]
138000,[-243.83919],90108.5,4847.77392578125,[-1.38754232  3.65876051  5.12797598  4.84007865],[1.8291061]
139000,[-56.304817],214635.765625,4825.0830078125,[ 1.45705456  2.2874932  -0.41290876  1.03749503],[-2.240991]
140000,[-155.34436],43477.75390625,4494.7509765625,[-0.44486786  3.47333035 -0.19507329 -5.48548172],[-2.7360744]
141000,[-237.76399],101205.96875,4486.55224609375,[0.33393422 3.5634552  2.79495587 4.76947347],[-1.9689591]
141376,[27461.871],79657.125,4407.22607421875,[-0.00759624  3.13298647 -0.00909775  0.00367555],[-5.112499]
142000,[-197.86536],100494.5,4570.603515625,[ 0.43893359  3.90131423 -1.15880864 -4.2259819 ],[-5.515638]
143000,[-54.836952],68388.453125,4868.6845703125,[ 0.89510281  2.17183721 -1.35979337  0.06630054],[-2.2552621]
144000,[-56.44643],227905.5,4772.45068359375,[ 1.03840623  2.17779962 -0.78980695 -0.23418588],[-2.1512485]
145000,[-88.544205],60209.34375,4596.8662109375,[ 0.36562754  2.55934846 -0.15611239  3.22772681],[3.9531415]
146000,[-224.69032],185270.75,4827.427734375,[0.14643136 3.63577312 5.16284295 6.96151775],[7.6066175]
147000,[-117.54741],155513.59375,4752.3369140625,[0.56222743 2.72157857 0.76670946 6.3350904 ],[6.586743]
148000,[-72.9201],108619.8671875,4789.63525390625,[ 0.86899119  2.45549668 -1.44211675  0.78460407],[1.0359175]
149000,[-75.40775],85059.953125,4627.6201171875,[ 1.17210309  2.52610318 -0.99333374 -1.04208062],[-1.0532974]
150000,[-96.87477],122417.46875,4521.775390625,[ 1.45875033  2.73385263 -1.00056673 -0.45950523],[1.0016751]
151000,[-170.51251],112366.421875,4723.267578125,[ 0.47335156  3.06663667  4.01254027 12.52494386],[10.3343315]
152000,[-79.69927],125313.3515625,4649.7734375,[ 0.8855256   2.52590485 -1.76057296 -0.94052397],[-0.3955035]
153000,[-83.27474],90458.96875,4557.861328125,[ 1.22085544  2.60852985 -2.04126344 -1.88205958],[-2.422867]
154000,[-87.692986],132975.515625,4700.9365234375,[ 1.5277585   2.69386866 -0.6551336  -1.37485089],[-0.5616164]
155000,[-66.71754],124389.2109375,4509.6962890625,[ 0.9323703   2.60554127 -0.92690691  2.41841394],[1.0062186]
156000,[-71.71652],172110.96875,4740.26123046875,[ 0.83624506  2.38050101 -1.84039037 -0.34565517],[-0.0475364]
157000,[-69.58662],84414.140625,4644.3740234375,[ 0.96586439  2.46880602 -1.55753465  1.02735592],[0.73753136]
158000,[-93.06854],132446.34375,4592.86474609375,[ 1.70167183  2.71610505 -0.4227357   0.0091558 ],[1.2189806]
159000,[-246.8367],221646.546875,4528.15625,[ 0.93806858  3.45564203  5.34264655 11.87696833],[13.40629]
160000,[-70.84576],69280.984375,4600.8291015625,[ 0.89899199  2.3070829  -2.24452247 -0.8991915 ],[-0.7661657]
161000,[-76.306694],52405.3046875,4614.58349609375,[ 1.15260281  2.26415777 -2.73151844 -2.22178376],[-3.1616683]
161376,[26341.078],111913.296875,4472.6396484375,[-1.42615822e-03  3.13232369e+00  6.83722526e-03 -8.56546126e-03],[2.0498462]
162000,[-84.406166],84055.953125,4608.7587890625,[ 1.28795537  2.55884723 -1.93732851 -2.24396677],[-2.0382988]
163000,[-83.67593],81539.1484375,4713.47900390625,[ 1.07988942  2.55218147 -1.777639   -2.17243963],[-1.7470365]
164000,[-87.18757],88760.265625,4496.53759765625,[ 1.15095319  2.64225219 -1.2955799  -1.64056814],[-0.70082295]
165000,[-92.545654],94859.875,4734.13330078125,[ 0.81975088  2.21864735 -2.01681307 -0.52407518],[2.1153839]
166000,[-78.16614],220362.234375,4710.2158203125,[ 0.96267944  2.40297802 -1.49923849 -0.10485183],[0.9136282]
167000,[-94.47918],68235.1015625,4569.58642578125,[ 1.7953639   2.76792336  0.34763779 -1.64449611],[-0.4299873]
168000,[-79.66619],104175.2109375,4616.3115234375,[ 2.80134279  1.97106752  1.45592813 -2.38593161],[-1.0827832]
169000,[-120.07414],117424.2734375,4589.560546875,[ 1.76171415  2.46528572  1.65976857 -3.73547696],[0.24002263]
170000,[-171.67337],127271.296875,4796.77197265625,[ 1.80703655  2.67430171  2.43213831 -6.06686231],[0.48078912]
171000,[-125.78975],39981.875,4699.9384765625,[ 2.47156891  2.01308869  2.51721149 -5.08083558],[-0.88155395]
172000,[-115.436714],120244.0078125,4526.3857421875,[ 1.88144303  2.11364801  2.2577609  -4.44994189],[-0.6118539]
